62:45:b1:04:c2:f4	40	-77	5200	
40:16:7e:5c:19:28	1	-54	2412	kotuby
40:16:7e:5c:19:28	3	-60	2422	kotuby
c8:d3:a3:5f:31:12	4	-71	2427	patnetwork1
10:0d:7f:73:47:5c	5	-76	2432	patnetwork1_EXT
10:0d:7f:73:47:5c	5	-77	2432	nil
c8:d3:a3:5f:31:12	6	-76	2437	patnetwork1
40:16:7e:5c:19:28	2	-59	2417	kotuby
c8:d3:a3:5f:31:12	3	-69	2422	patnetwork1
10:0d:7f:73:47:5c	4	-80	2427	patnetwork1_EXT
c0:c1:c0:64:e5:72	4	-80	2427	Donna
10:0d:7f:73:47:5c	5	-80	2432	nil
10:0d:7f:73:47:5c	5	-78	2432	nil
c8:d3:a3:5f:31:12	5	-67	2432	patnetwork1
10:0d:7f:73:47:5c	5	-80	2432	nil
10:0d:7f:73:47:5c	5	-71	2432	nil
10:0d:7f:73:47:5c	5	-70	2432	nil
10:0d:7f:73:47:5c	5	-70	2432	nil
10:0d:7f:73:47:5c	6	-79	2437	nil
c8:d3:a3:5f:31:12	7	-71	2442	patnetwork1
10:0d:7f:73:47:5c	7	-77	2442	nil
62:45:b1:04:c2:f4	40	-76	5200	
40:16:7e:5c:19:28	1	-59	2412	kotuby
40:16:7e:5c:19:28	3	-66	2422	kotuby
c0:c1:c0:64:e5:72	4	-79	2427	Donna
c0:c1:c0:64:e5:72	6	-81	2437	Donna
c8:d3:a3:5f:31:12	6	-67	2437	patnetwork1
62:45:b1:04:c2:f4	40	-66	5200	
40:16:7e:5c:19:28	1	-54	2412	kotuby
40:16:7e:5c:19:28	2	-59	2417	kotuby
10:0d:7f:73:47:5c	5	-76	2432	patnetwork1_EXT
c8:d3:a3:5f:31:12	5	-71	2432	patnetwork1
7c:d1:c3:d1:72:44	11	-84	2462	pacheco
c0:c1:c0:64:e5:72	4	-78	2427	Donna
c8:d3:a3:5f:31:12	5	-72	2432	patnetwork1
10:0d:7f:73:47:5c	6	-78	2437	patnetwork1_EXT
c8:d3:a3:5f:31:12	6	-74	2437	patnetwork1
